event_id,observed_at,txid,input_wallet,output_wallet,amount_sats,fee_sats,script_type,src_ip,src_port,dst_ip,dst_port,latency_ms,peer_count_hint,event_sequence
syn_evt_000020,2026-07-26T00:00:20.000Z,tx_0004,syn_w_0018,syn_w_0022,1570324,3694,p2sh,198.18.158.7,28900,198.18.132.217,8333,282,21,21
syn_evt_000021,2026-07-26T00:00:21.000Z,tx_0004,syn_w_0011,syn_w_0051,2896234,1931,p2sh,198.18.50.116,31427,198.18.225.62,8333,264,32,22
syn_evt_000022,2026-07-26T00:00:22.000Z,tx_0004,syn_w_0054,syn_w_0037,2742918,4754,p2sh,198.18.178.251,30160,198.18.225.62,8333,71,24,23
syn_evt_000023,2026-07-26T00:00:23.000Z,tx_0004,syn_w_0068,syn_w_0036,1807938,2395,p2pkh,198.18.59.109,63523,198.18.215.201,8333,57,22,24
syn_evt_000024,2026-07-26T00:00:24.000Z,tx_0004,syn_w_0083,syn_w_0043,1540513,722,p2sh,198.18.203.65,56502,198.18.174.23,8333,90,19,25
syn_evt_000025,2026-07-26T00:00:25.000Z,tx_0005,syn_w_0072,syn_w_0089,4526248,2273,p2pkh,198.18.174.23,41707,198.18.59.109,8333,376,16,26
syn_evt_000026,2026-07-26T00:00:26.000Z,tx_0005,syn_w_0072,syn_w_0098,1808811,2914,p2wpkh,198.18.174.23,18594,198.18.46.103,8333,353,25,27
syn_evt_000027,2026-07-26T00:00:27.000Z,tx_0005,syn_w_0017,syn_w_0013,818919,4072,p2pkh,198.18.255.223,7973,198.18.147.210,8333,360,9,28
syn_evt_000028,2026-07-26T00:00:28.000Z,tx_0005,syn_w_0098,syn_w_0046,1566046,1370,p2wpkh,198.18.236.109,21572,198.18.59.109,8333,151,26,29
syn_evt_000029,2026-07-26T00:00:29.000Z,tx_0005,syn_w_0009,syn_w_0039,1363844,2636,p2sh,198.18.215.145,5144,198.18.5.209,8333,17,21,30
syn_evt_000030,2026-07-26T00:00:30.000Z,tx_0006,syn_w_0100,syn_w_0033,490764,1290,p2pkh,198.18.203.65,2529,198.18.60.82,8333,168,11,31
syn_evt_000031,2026-07-26T00:00:31.000Z,tx_0006,syn_w_0013,syn_w_0089,2948586,3080,p2sh,198.18.39.186,40821,198.18.149.74,8333,330,28,32
syn_evt_000032,2026-07-26T00:00:32.000Z,tx_0006,syn_w_0092,syn_w_0079,2661334,2266,p2wpkh,198.18.52.227,31345,198.18.203.65,8333,228,29,33
syn_evt_000033,2026-07-26T00:00:33.000Z,tx_0006,syn_w_0016,syn_w_0089,4214888,2560,p2sh,198.18.251.174,20152,198.18.132.217,8333,428,19,34
syn_evt_000034,2026-07-26T00:00:34.000Z,tx_0006,syn_w_0008,syn_w_0096,208502,2805,p2wpkh,198.18.188.94,22686,198.18.203.65,8333,158,31,35
syn_evt_000035,2026-07-26T00:00:35.000Z,tx_0007,syn_w_0099,syn_w_0016,3505000,3112,p2wpkh,198.18.50.116,60200,198.18.255.223,8333,20,25,36
syn_evt_000036,2026-07-26T00:00:36.000Z,tx_0007,syn_w_0044,syn_w_0026,954537,1828,p2wpkh,198.18.39.186,9064,198.18.52.227,8333,70,9,37
syn_evt_000037,2026-07-26T00:00:37.000Z,tx_0007,syn_w_0017,syn_w_0068,2545382,735,p2sh,198.18.251.174,38912,198.18.234.37,8333,74,19,38
syn_evt_000038,2026-07-26T00:00:38.000Z,tx_0007,syn_w_0054,syn_w_0050,3541481,2298,p2pkh,198.18.160.54,13047,198.18.41.29,8333,287,8,39
syn_evt_000039,2026-07-26T00:00:39.000Z,tx_0007,syn_w_0085,syn_w_0093,4664823,3751,p2sh,198.18.215.145,52574,198.18.39.186,8333,85,15,40
syn_evt_000040,2026-07-26T00:00:40.000Z,tx_0008,syn_w_0003,syn_w_0004,4026828,3923,p2sh,198.18.147.210,63838,198.18.174.23,8333,171,12,41
syn_evt_000041,2026-07-26T00:00:41.000Z,tx_0008,syn_w_0081,syn_w_0076,1514096,811,p2wpkh,198.18.114.230,57786,198.18.251.102,8333,431,24,42
syn_evt_000042,2026-07-26T00:00:42.000Z,tx_0008,syn_w_0034,syn_w_0045,2673365,960,p2wpkh,198.18.234.37,56116,198.18.192.191,8333,15,28,43
syn_evt_000043,2026-07-26T00:00:43.000Z,tx_0008,syn_w_0032,syn_w_0062,4276615,1735,p2wpkh,198.18.52.227,60402,198.18.147.210,8333,214,30,44
syn_evt_000044,2026-07-26T00:00:44.000Z,tx_0008,syn_w_0047,syn_w_0030,2323258,3315,p2pkh,198.18.39.186,25582,198.18.251.102,8333,193,22,45
syn_evt_000045,2026-07-26T00:00:45.000Z,tx_0009,syn_w_0082,syn_w_0059,3986725,3057,p2pkh,198.18.39.186,11397,198.18.59.109,8333,331,21,46
syn_evt_000046,2026-07-26T00:00:46.000Z,tx_0009,syn_w_0020,syn_w_0064,2983193,4786,p2wpkh,198.18.132.217,27784,198.18.60.82,8333,417,9,47
syn_evt_000047,2026-07-26T00:00:47.000Z,tx_0009,syn_w_0082,syn_w_0023,3137221,4978,p2wpkh,198.18.114.230,18392,198.18.5.209,8333,80,30,48
syn_evt_000048,2026-07-26T00:00:48.000Z,tx_0009,syn_w_0095,syn_w_0013,4484613,2278,p2wpkh,198.18.132.217,39191,198.18.60.82,8333,167,26,49
syn_evt_000049,2026-07-26T00:00:49.000Z,tx_0009,syn_w_0006,syn_w_0052,4343520,1794,p2wpkh,198.18.160.54,7900,198.18.174.23,8333,53,12,50
syn_evt_000050,2026-07-26T00:00:50.000Z,tx_0010,syn_w_0094,syn_w_0050,2203151,3042,p2pkh,198.18.5.209,49345,198.18.174.23,8333,313,29,51
syn_evt_000051,2026-07-26T00:00:51.000Z,tx_0010,syn_w_0025,syn_w_0021,2487087,4933,p2sh,198.18.132.217,24434,198.18.50.116,8333,78,20,52
syn_evt_000052,2026-07-26T00:00:52.000Z,tx_0010,syn_w_0025,syn_w_0097,4036633,3962,p2sh,198.18.234.37,54247,198.18.60.82,8333,405,32,53
syn_evt_000053,2026-07-26T00:00:53.000Z,tx_0010,syn_w_0069,syn_w_0022,257571,1971,p2sh,198.18.236.109,36354,198.18.192.191,8333,84,13,54
syn_evt_000054,2026-07-26T00:00:54.000Z,tx_0010,syn_w_0004,syn_w_0016,26715,3568,p2pkh,198.18.192.191,25141,198.18.188.94,8333,164,14,55
syn_evt_000055,2026-07-26T00:00:55.000Z,tx_0011,syn_w_0069,syn_w_0020,2091675,1536,p2pkh,198.18.149.74,22407,198.18.234.37,8333,258,11,56
syn_evt_000056,2026-07-26T00:00:56.000Z,tx_0011,syn_w_0094,syn_w_0010,2539125,1462,p2sh,198.18.160.54,32113,198.18.147.210,8333,265,11,57
syn_evt_000057,2026-07-26T00:00:57.000Z,tx_0011,syn_w_0072,syn_w_0067,3018803,4235,p2wpkh,198.18.41.29,23641,198.18.251.102,8333,52,10,58
syn_evt_000058,2026-07-26T00:00:58.000Z,tx_0011,syn_w_0100,syn_w_0012,2627465,2673,p2wpkh,198.18.255.223,15838,198.18.182.207,8333,96,18,59
syn_evt_000059,2026-07-26T00:00:59.000Z,tx_0011,syn_w_0056,syn_w_0066,2716950,4540,p2sh,198.18.39.186,21581,198.18.5.209,8333,100,14,60
syn_evt_000060,2026-07-26T00:01:00.000Z,tx_0012,syn_w_0060,syn_w_0029,2933820,3368,p2sh,198.18.251.102,55525,198.18.188.94,8333,421,26,61
syn_evt_000061,2026-07-26T00:01:01.000Z,tx_0012,syn_w_0049,syn_w_0028,4762732,1545,p2sh,198.18.251.193,18563,198.18.182.207,8333,178,11,62
syn_evt_000062,2026-07-26T00:01:02.000Z,tx_0012,syn_w_0041,syn_w_0035,3738309,2659,p2pkh,198.18.59.109,36748,198.18.132.217,8333,330,16,63
syn_evt_000063,2026-07-26T00:01:03.000Z,tx_0012,syn_w_0030,syn_w_0044,1043780,2694,p2sh,198.18.251.193,38667,198.18.174.23,8333,244,28,64
syn_evt_000064,2026-07-26T00:01:04.000Z,tx_0012,syn_w_0052,syn_w_0053,2771277,3855,p2sh,198.18.60.82,7250,198.18.174.23,8333,357,32,65
syn_evt_000065,2026-07-26T00:01:05.000Z,tx_0013,syn_w_0064,syn_w_0088,4593629,4732,p2pkh,198.18.251.102,28839,198.18.234.37,8333,190,28,66
syn_evt_000066,2026-07-26T00:01:06.000Z,tx_0013,syn_w_0043,syn_w_0008,1460973,586,p2sh,198.18.215.145,37653,198.18.160.54,8333,369,16,67
syn_evt_000067,2026-07-26T00:01:07.000Z,tx_0013,syn_w_0017,syn_w_0044,3488105,4398,p2sh,198.18.174.23,23224,198.18.158.7,8333,16,9,68
syn_evt_000068,2026-07-26T00:01:08.000Z,tx_0013,syn_w_0097,syn_w_0029,2263550,3175,p2pkh,198.18.234.37,52127,198.18.215.201,8333,117,22,69
syn_evt_000069,2026-07-26T00:01:09.000Z,tx_0013,syn_w_0066,syn_w_0036,3109039,1147,p2wpkh,198.18.149.74,46403,198.18.158.7,8333,106,25,70
syn_evt_000070,2026-07-26T00:01:10.000Z,tx_0014,syn_w_0099,syn_w_0002,2778101,2297,p2sh,198.18.215.201,14548,198.18.225.62,8333,320,29,71
syn_evt_000071,2026-07-26T00:01:11.000Z,tx_0014,syn_w_0022,syn_w_0092,4771588,3916,p2wpkh,198.18.50.116,35220,198.18.114.230,8333,358,26,72
syn_evt_000072,2026-07-26T00:01:12.000Z,tx_0014,syn_w_0072,syn_w_0018,2282261,3936,p2pkh,198.18.215.201,13165,198.18.60.82,8333,291,31,73
syn_evt_000073,2026-07-26T00:01:13.000Z,tx_0014,syn_w_0066,syn_w_0030,2872747,3314,p2sh,198.18.215.145,21852,198.18.182.207,8333,320,23,74
syn_evt_000074,2026-07-26T00:01:14.000Z,tx_0014,syn_w_0033,syn_w_0064,2108009,800,p2wpkh,198.18.132.217,33136,198.18.5.209,8333,78,8,75
syn_evt_000075,2026-07-26T00:01:15.000Z,tx_0015,syn_w_0062,syn_w_0047,3920072,2128,p2sh,198.18.147.210,18956,198.18.251.102,8333,272,31,76
syn_evt_000076,2026-07-26T00:01:16.000Z,tx_0015,syn_w_0052,syn_w_0039,464559,3865,p2pkh,198.18.1.158,48595,198.18.149.74,8333,379,28,77
syn_evt_000077,2026-07-26T00:01:17.000Z,tx_0015,syn_w_0085,syn_w_0066,2514887,4453,p2wpkh,198.18.158.7,6969,198.18.39.186,8333,446,24,78
syn_evt_000078,2026-07-26T00:01:18.000Z,tx_0015,syn_w_0067,syn_w_0078,2677036,3282,p2sh,198.18.5.209,12896,198.18.192.191,8333,49,25,79
syn_evt_000079,2026-07-26T00:01:19.000Z,tx_0015,syn_w_0023,syn_w_0099,4439125,4764,p2sh,198.18.147.210,42347,198.18.132.217,8333,64,27,80
syn_evt_000080,2026-07-26T00:01:20.000Z,tx_0016,syn_w_0028,syn_w_0004,1768840,4014,p2wpkh,198.18.178.251,57089,198.18.41.29,8333,279,12,81
syn_evt_000081,2026-07-26T00:01:21.000Z,tx_0016,syn_w_0066,syn_w_0028,2280652,4502,p2pkh,198.18.255.223,37651,198.18.132.217,8333,357,18,82
syn_evt_000082,2026-07-26T00:01:22.000Z,tx_0016,syn_w_0047,syn_w_0085,4532246,2048,p2pkh,198.18.160.54,40789,198.18.174.23,8333,292,30,83
syn_evt_000083,2026-07-26T00:01:23.000Z,tx_0016,syn_w_0020,syn_w_0095,4816189,1000,p2wpkh,198.18.251.193,57740,198.18.225.62,8333,27,16,84
syn_evt_000084,2026-07-26T00:01:24.000Z,tx_0016,syn_w_0039,syn_w_0023,4542525,3421,p2pkh,198.18.251.193,30993,198.18.50.116,8333,96,13,85
syn_evt_000085,2026-07-26T00:01:25.000Z,tx_0017,syn_w_0089,syn_w_0007,1300993,3890,p2wpkh,198.18.46.103,41839,198.18.225.62,8333,260,25,86
syn_evt_000086,2026-07-26T00:01:26.000Z,tx_0017,syn_w_0004,syn_w_0040,3064768,4946,p2pkh,198.18.41.29,31540,198.18.39.186,8333,358,31,87
syn_evt_000087,2026-07-26T00:01:27.000Z,tx_0017,syn_w_0053,syn_w_0020,1231766,4663,p2pkh,198.18.132.217,31880,198.18.5.209,8333,13,9,88
syn_evt_000088,2026-07-26T00:01:28.000Z,tx_0017,syn_w_0013,syn_w_0047,2167782,3193,p2pkh,198.18.174.23,11759,198.18.132.217,8333,267,14,89
syn_evt_000089,2026-07-26T00:01:29.000Z,tx_0017,syn_w_0012,syn_w_0056,1682987,1898,p2pkh,198.18.158.7,15746,198.18.203.65,8333,348,23,90
syn_evt_000090,2026-07-26T00:01:30.000Z,tx_0018,syn_w_0028,syn_w_0049,3549766,3966,p2sh,198.18.225.62,57133,198.18.174.23,8333,195,30,91
syn_evt_000091,2026-07-26T00:01:31.000Z,tx_0018,syn_w_0027,syn_w_0041,3704985,4446,p2pkh,198.18.234.37,58611,198.18.46.103,8333,118,31,92
syn_evt_000092,2026-07-26T00:01:32.000Z,tx_0018,syn_w_0026,syn_w_0015,2979025,1794,p2pkh,198.18.46.103,12304,198.18.114.230,8333,114,28,93
syn_evt_000093,2026-07-26T00:01:33.000Z,tx_0018,syn_w_0056,syn_w_0025,265867,4980,p2pkh,198.18.132.217,43503,198.18.203.65,8333,334,16,94
syn_evt_000094,2026-07-26T00:01:34.000Z,tx_0018,syn_w_0037,syn_w_0096,89872,4404,p2wpkh,198.18.251.174,31183,198.18.203.65,8333,149,19,95
syn_evt_000095,2026-07-26T00:01:35.000Z,tx_0019,syn_w_0063,syn_w_0018,1217894,2323,p2sh,198.18.215.201,30909,198.18.59.109,8333,203,27,96
syn_evt_000096,2026-07-26T00:01:36.000Z,tx_0019,syn_w_0082,syn_w_0076,4709246,3172,p2sh,198.18.52.227,64419,198.18.236.109,8333,359,10,97
syn_evt_000097,2026-07-26T00:01:37.000Z,tx_0019,syn_w_0060,syn_w_0061,4417351,4844,p2pkh,198.18.251.174,54343,198.18.174.23,8333,151,17,98
syn_evt_000098,2026-07-26T00:01:38.000Z,tx_0019,syn_w_0005,syn_w_0012,599302,4822,p2sh,198.18.174.23,38011,198.18.52.227,8333,65,20,99
syn_evt_000099,2026-07-26T00:01:39.000Z,tx_0019,syn_w_0083,syn_w_0074,4025044,4930,p2pkh,198.18.178.251,11057,198.18.234.37,8333,173,12,100
syn_evt_000100,2026-07-26T00:01:40.000Z,tx_0020,syn_w_0004,syn_w_0015,1420755,4880,p2sh,198.18.160.54,2219,198.18.114.230,8333,33,31,101
syn_evt_000101,2026-07-26T00:01:41.000Z,tx_0020,syn_w_0010,syn_w_0098,1013904,3243,p2wpkh,198.18.149.74,11066,198.18.192.191,8333,167,23,102
syn_evt_000102,2026-07-26T00:01:42.000Z,tx_0020,syn_w_0031,syn_w_0043,3941474,2486,p2sh,198.18.188.94,16649,198.18.215.145,8333,273,18,103
syn_evt_000103,2026-07-26T00:01:43.000Z,tx_0020,syn_w_0054,syn_w_0006,1555904,4092,p2pkh,198.18.182.207,51407,198.18.41.29,8333,68,26,104
syn_evt_000104,2026-07-26T00:01:44.000Z,tx_0020,syn_w_0061,syn_w_0077,4455241,633,p2sh,198.18.160.54,62984,198.18.192.191,8333,121,20,105
syn_evt_000105,2026-07-26T00:01:45.000Z,tx_0021,syn_w_0094,syn_w_0005,1186821,2913,p2pkh,198.18.192.191,57423,198.18.178.251,8333,276,18,106
syn_evt_000106,2026-07-26T00:01:46.000Z,tx_0021,syn_w_0035,syn_w_0100,4878281,715,p2sh,198.18.203.65,40490,198.18.132.217,8333,276,13,107
syn_evt_000107,2026-07-26T00:01:47.000Z,tx_0021,syn_w_0068,syn_w_0016,1828666,1122,p2wpkh,198.18.174.23,12169,198.18.251.174,8333,244,20,108
syn_evt_000108,2026-07-26T00:01:48.000Z,tx_0021,syn_w_0015,syn_w_0014,3373134,547,p2pkh,198.18.255.223,13911,198.18.203.65,8333,36,16,109
syn_evt_000109,2026-07-26T00:01:49.000Z,tx_0021,syn_w_0097,syn_w_0022,3149340,1192,p2sh,198.18.192.191,12009,198.18.147.210,8333,28,14,110
syn_evt_000110,2026-07-26T00:01:50.000Z,tx_0022,syn_w_0091,syn_w_0081,4727262,1447,p2sh,198.18.255.223,37049,198.18.188.94,8333,351,9,111
syn_evt_000111,2026-07-26T00:01:51.000Z,tx_0022,syn_w_0046,syn_w_0090,4334233,783,p2pkh,198.18.178.251,43650,198.18.251.102,8333,343,23,112
syn_evt_000112,2026-07-26T00:01:52.000Z,tx_0022,syn_w_0007,syn_w_0039,559526,2786,p2pkh,198.18.114.230,1502,198.18.1.158,8333,156,27,113
syn_evt_000113,2026-07-26T00:01:53.000Z,tx_0022,syn_w_0083,syn_w_0006,608202,4977,p2pkh,198.18.182.207,36901,198.18.147.210,8333,335,24,114
syn_evt_000114,2026-07-26T00:01:54.000Z,tx_0022,syn_w_0075,syn_w_0070,456467,4937,p2sh,198.18.41.29,15985,198.18.192.191,8333,284,20,115
syn_evt_000115,2026-07-26T00:01:55.000Z,tx_0023,syn_w_0060,syn_w_0012,136925,3887,p2sh,198.18.41.29,37454,198.18.52.227,8333,55,22,116
syn_evt_000116,2026-07-26T00:01:56.000Z,tx_0023,syn_w_0087,syn_w_0080,1997142,1848,p2wpkh,198.18.225.62,14089,198.18.1.158,8333,268,32,117
syn_evt_000117,2026-07-26T00:01:57.000Z,tx_0023,syn_w_0044,syn_w_0053,1426969,4334,p2pkh,198.18.147.210,2265,198.18.158.7,8333,186,10,118
syn_evt_000118,2026-07-26T00:01:58.000Z,tx_0023,syn_w_0096,syn_w_0098,4345384,2492,p2sh,198.18.251.193,58077,198.18.149.74,8333,365,12,119
syn_evt_000119,2026-07-26T00:01:59.000Z,tx_0023,syn_w_0088,syn_w_0042,4624710,1445,p2pkh,198.18.225.62,1122,198.18.192.191,8333,426,20,120
syn_evt_000120,2026-07-26T00:02:00.000Z,tx_0024,syn_w_0012,syn_w_0091,3521716,3273,p2wpkh,198.18.182.207,62798,198.18.158.7,8333,192,10,121
syn_evt_000121,2026-07-26T00:02:01.000Z,tx_0024,syn_w_0096,syn_w_0088,2126358,2449,p2pkh,198.18.174.23,25746,198.18.60.82,8333,135,17,122
syn_evt_000122,2026-07-26T00:02:02.000Z,tx_0024,syn_w_0077,syn_w_0088,4761579,1971,p2sh,198.18.174.23,49948,198.18.188.94,8333,282,8,123
syn_evt_000123,2026-07-26T00:02:03.000Z,tx_0024,syn_w_0004,syn_w_0045,1482374,4253,p2wpkh,198.18.215.145,7386,198.18.236.109,8333,134,29,124
syn_evt_000124,2026-07-26T00:02:04.000Z,tx_0024,syn_w_0061,syn_w_0098,4226215,4416,p2pkh,198.18.225.62,5448,198.18.234.37,8333,75,8,125
syn_evt_000125,2026-07-26T00:02:05.000Z,tx_0025,syn_w_0079,syn_w_0068,3430133,2564,p2pkh,198.18.50.116,30142,198.18.251.193,8333,321,17,126
syn_evt_000126,2026-07-26T00:02:06.000Z,tx_0025,syn_w_0020,syn_w_0050,52016,4137,p2wpkh,198.18.234.37,8985,198.18.158.7,8333,59,15,127
syn_evt_000127,2026-07-26T00:02:07.000Z,tx_0025,syn_w_0042,syn_w_0058,3241341,2742,p2sh,198.18.255.223,51442,198.18.114.230,8333,237,31,128
syn_evt_000128,2026-07-26T00:02:08.000Z,tx_0025,syn_w_0039,syn_w_0033,3453033,4346,p2sh,198.18.178.251,57385,198.18.46.103,8333,170,13,129
syn_evt_000129,2026-07-26T00:02:09.000Z,tx_0025,syn_w_0014,syn_w_0080,1726117,2247,p2wpkh,198.18.39.186,20322,198.18.60.82,8333,374,32,130
syn_evt_000130,2026-07-26T00:02:10.000Z,tx_0026,syn_w_0052,syn_w_0029,2739913,1858,p2pkh,198.18.251.102,16087,198.18.188.94,8333,207,12,131
syn_evt_000131,2026-07-26T00:02:11.000Z,tx_0026,syn_w_0077,syn_w_0043,3320197,2201,p2wpkh,198.18.234.37,37008,198.18.39.186,8333,165,25,132
syn_evt_000132,2026-07-26T00:02:12.000Z,tx_0026,syn_w_0069,syn_w_0049,2926168,4204,p2pkh,198.18.188.94,12533,198.18.147.210,8333,270,17,133
syn_evt_000133,2026-07-26T00:02:13.000Z,tx_0026,syn_w_0005,syn_w_0096,1649052,2960,p2pkh,198.18.149.74,56580,198.18.251.102,8333,230,29,134
syn_evt_000134,2026-07-26T00:02:14.000Z,tx_0026,syn_w_0075,syn_w_0017,4178264,984,p2wpkh,198.18.178.251,21151,198.18.160.54,8333,387,9,135
syn_evt_000135,2026-07-26T00:02:15.000Z,tx_0027,syn_w_0077,syn_w_0066,2509357,3891,p2pkh,198.18.5.209,65512,198.18.174.23,8333,363,28,136
syn_evt_000136,2026-07-26T00:02:16.000Z,tx_0027,syn_w_0069,syn_w_0066,4254853,3368,p2sh,198.18.50.116,50257,198.18.59.109,8333,209,24,137
syn_evt_000137,2026-07-26T00:02:17.000Z,tx_0027,syn_w_0029,syn_w_0002,3610914,3673,p2wpkh,198.18.203.65,59500,198.18.39.186,8333,196,15,138
syn_evt_000138,2026-07-26T00:02:18.000Z,tx_0027,syn_w_0072,syn_w_0076,254422,1376,p2pkh,198.18.160.54,15134,198.18.251.174,8333,99,23,139
syn_evt_000139,2026-07-26T00:02:19.000Z,tx_0027,syn_w_0080,syn_w_0051,1329492,4067,p2wpkh,198.18.182.207,13443,198.18.251.102,8333,201,8,140
syn_evt_000140,2026-07-26T00:02:20.000Z,tx_0028,syn_w_0070,syn_w_0011,1833241,3756,p2pkh,198.18.215.201,30997,198.18.251.193,8333,317,19,141
syn_evt_000141,2026-07-26T00:02:21.000Z,tx_0028,syn_w_0082,syn_w_0067,835984,3910,p2pkh,198.18.132.217,22073,198.18.234.37,8333,169,8,142
syn_evt_000142,2026-07-26T00:02:22.000Z,tx_0028,syn_w_0013,syn_w_0009,1274001,4275,p2wpkh,198.18.46.103,28147,198.18.5.209,8333,60,28,143
syn_evt_000143,2026-07-26T00:02:23.000Z,tx_0028,syn_w_0014,syn_w_0026,4661102,4478,p2sh,198.18.251.102,39981,198.18.255.223,8333,102,11,144
syn_evt_000144,2026-07-26T00:02:24.000Z,tx_0028,syn_w_0012,syn_w_0046,3729177,4319,p2pkh,198.18.41.29,61196,198.18.251.193,8333,291,21,145
syn_evt_000145,2026-07-26T00:02:25.000Z,tx_0029,syn_w_0097,syn_w_0017,3900392,3965,p2pkh,198.18.114.230,29977,198.18.60.82,8333,264,9,146
syn_evt_000146,2026-07-26T00:02:26.000Z,tx_0029,syn_w_0058,syn_w_0062,836638,885,p2sh,198.18.251.174,12912,198.18.46.103,8333,229,28,147
syn_evt_000147,2026-07-26T00:02:27.000Z,tx_0029,syn_w_0009,syn_w_0034,4405439,2532,p2sh,198.18.188.94,8165,198.18.39.186,8333,189,13,148
syn_evt_000148,2026-07-26T00:02:28.000Z,tx_0029,syn_w_0002,syn_w_0020,2589764,2614,p2sh,198.18.149.74,52528,198.18.234.37,8333,62,30,149
syn_evt_000149,2026-07-26T00:02:29.000Z,tx_0029,syn_w_0029,syn_w_0048,645934,3862,p2wpkh,198.18.215.145,6448,198.18.46.103,8333,305,32,150
syn_evt_000150,2026-07-26T00:02:30.000Z,tx_0030,syn_w_0080,syn_w_0034,4861872,3045,p2pkh,198.18.5.209,49628,198.18.178.251,8333,432,27,151
syn_evt_000151,2026-07-26T00:02:31.000Z,tx_0030,syn_w_0068,syn_w_0024,2132809,778,p2wpkh,198.18.192.191,40974,198.18.203.65,8333,138,24,152
syn_evt_000152,2026-07-26T00:02:32.000Z,tx_0030,syn_w_0059,syn_w_0038,2196079,2203,p2wpkh,198.18.203.65,62129,198.18.46.103,8333,405,31,153
syn_evt_000153,2026-07-26T00:02:33.000Z,tx_0030,syn_w_0076,syn_w_0057,4348669,3031,p2sh,198.18.225.62,21424,198.18.160.54,8333,66,27,154
syn_evt_000154,2026-07-26T00:02:34.000Z,tx_0030,syn_w_0032,syn_w_0001,2842291,3106,p2wpkh,198.18.215.145,61389,198.18.1.158,8333,336,11,155
syn_evt_000155,2026-07-26T00:02:35.000Z,tx_0031,syn_w_0085,syn_w_0044,3569332,4282,p2wpkh,198.18.160.54,25687,198.18.158.7,8333,355,11,156
